,End of the Year,Currency Issues of the CBSL,Government Agencies Deposit with CBSL,Commercial Bank Deposit with CBSL,Total,M1,M2,M2b,M2 velocity,M2b velocity
159,2004 Apr  ,522200.1438,6.62946293,240895.1803,763101.9535,0.937683721,5.558970436,6.253586297,,
123,2005 Apr  ,328463.3414,2.613,171821.6847,500287.6391,0.905648313,5.573468639,6.261718426,,
51,2006 Apr  ,168102.3,6.1,81228.7,249337.1,1.060901887,4.196678713,5.079083297,,
135,2007 Apr  ,361430.9728,12.418,153895.8224,515339.2133,0.984585706,6.161220473,6.881837403,,
63,2008 Apr  ,186905.35,6.88,93288.77,280201,0.974098237,4.25537846,5.195813006,,
111,2009 Apr  ,309529.3344,445.866,139331.4579,449306.6583,0.988630505,5.238037699,6.051918832,,
99,2010 Apr  ,289405.6005,7.906,116041.1342,405454.6407,1.044563629,4.774262569,5.455780166,,
75,2011 Apr  ,191341.9,12.9,69821.8,261176.6,1.036168958,5.144153965,6.145774322,,
87,2012 Apr  ,244645.7811,48.151,80310.80567,325004.7378,1.082813807,4.933188166,5.750260744,,
147,2013 Apr  ,449139.936,2.976709,163512.4283,612655.341,1.028797623,5.865296881,6.591242122,,
183,2014 Apr  ,635838.6282,23.5268323,364199.2334,1000061.388,0.812498556,6.043340559,6.691319043,,
39,2015 Apr  ,144902,126,71066,216094,1.101247605,4.064564495,5.019375827,,
219,2016 Apr  ,911082.1597,36.32878054,120025.8925,1031144.381,1.206620109,8.674482971,9.646887825,,
255,2017 Apr  ,1267593.334,30.78787005,158902.0235,1426526.145,1.217582663,8.321175104,9.407454046,,
3,2018 Apr  ,91365,16,37261,128642,1.1128947,4.122712644,5.041829263,,
15,2019 Apr  ,106815,20,46250,153085,1.107196049,3.973230383,4.894763659,,
195,2020 Apr  ,677374.2768,45.0452314,246809.6127,924228.9347,0.896224899,7.125419548,7.893559006,,
231,2021 Apr  ,1170677.087,19.53752378,311108.3203,1481804.944,1.103473678,6.879060339,8.058150986,,
207,2022 Apr  ,821169.9568,107.1706084,200312.31,1021589.437,0.971527575,7.308315354,8.084458068,,
27,2023 Apr  ,127409.8,7,54444.4,181861.2,1.140783346,4.004772876,4.976064137,,
243,2024 Apr  ,1104398.599,31.49720319,312643.833,1417073.93,1.058123936,7.60681578,8.741004777,,
127,2003 Aug  ,323622.0337,0.974,142960.9104,466583.9181,0.97108442,6.180002449,6.953885642,,
235,2004 Aug  ,1079736.98,55.03952527,306455.6321,1386247.651,1.106666715,7.419985898,8.647020028,,
115,2005 Aug  ,310386.9794,3.279,162559.9153,472950.1737,0.928141381,5.157788236,5.948636366,,
